,corrected Ag,corrected Ag 2-Sigma,corrected Al,corrected Al 2-Sigma,corrected As,corrected As 2-Sigma,corrected Au,corrected Au 2-Sigma,corrected Ba,corrected Ba 2-Sigma,corrected Bal,corrected Bal 2-Sigma,corrected Bi,corrected Bi 2-Sigma,corrected Ca,corrected Ca 2-Sigma,corrected Cd,corrected Cd 2-Sigma,corrected Cl,corrected Cl 2-Sigma,corrected Co,corrected Co 2-Sigma,corrected Cr,corrected Cr 2-Sigma,corrected Cu,corrected Cu 2-Sigma,corrected Fe,corrected Fe 2-Sigma,corrected Fe,corrected Fe 2-Sigma,corrected Hf,corrected Hf 2-Sigma,corrected Hg,corrected Hg 2-Sigma,corrected K,corrected K 2-Sigma,corrected Mg,corrected Mg 2-Sigma,corrected Mn,corrected Mn 2-Sigma,corrected Mo,corrected Mo 2-Sigma,corrected Nb,corrected Nb 2-Sigma,corrected Ni,corrected Ni 2-Sigma,corrected P,corrected P 2-Sigma,corrected Pd,corrected Pb 2-Sigma,corrected Pb,corrected Pd,corrected Rb,corrected Rb 2-Sigma,corrected Re,corrected Re 2-Sigma,corrected S,corrected S 2-Sigma,corrected Sb,corrected Sb 2-Sigma,corrected Se,corrected Se 2-Sigma,corrected Si,corrected Si 2-Sigma,corrected Sn,corrected Sn 2-Sigma,corrected Sr,corrected Sr 2-Sigma,corrected Ta,corrected Ta 2-Sigma,corrected Th,corrected Th 2-Sigma,corrected Ti,corrected Ti 2-Sigma,corrected U,corrected U 2-Sigma,corrected V,corrected V 2-Sigma,corrected W,corrected W 2-Sigma,corrected Y,corrected Y 2-Sigma,corrected Zn,corrected Zn 2-Sigma,corrected Zr,corrected Zr 2-Sigma
10,0.0,5.8512995595707675,8165.6177,6789.836228271495,3.5689,4.4707753524125735,0,7.4602589446694205,1045.9418121453446,72.94822230196226,0.0,21950.78340049072,0,2.1897,269230.2189809798,1788.5873701745636,0.0,3.9175,11153.750600618294,1907.4248443695487,0,64.16640055320494,58.2715,20.528507849989303,36.21286326759245,11.68682900908506,7854.12393276481,778.5429689244949,7854.12393276481,778.5429689244949,0,0.0,0,3.2606,4698.859670905922,1368.6823507300148,1857.0601478958515,3374.4222344194714,212.55169377277255,83.62289156318812,0.0,1.9028,6.275114638594236,3.13311319791588,53.439673494733974,18.46864983159985,93152.125,780.4296315997829,0.0,2.5756667274636555,-2.636493114017924,6.197129894001628,55.369440186693225,6.261576448640165,0.0,0.0,11853.49360638582,484.0364311342349,0.0,11.998163550295416,0.0,1.586446992303745,141251.2814402812,12901.570480410748,28.9564,10.37179369068412,2140.3257,8.543942116435128,0,0.0,3.0177,3.488994674810752,911.1227498496125,197.1216575755193,39.6395,4.306366508041913,123.72861853604176,26.205442648996943,0,0.0,30.60363799013815,4.104412267937043,101.99358173397047,15.234357529569525,34.760069638122125,23.476927979462218
11,2.6803,4.218999559570768,7999.2197,6791.981228271495,0.0,6.601375352412573,0,7.42495894466942,1026.7664995791347,73.06862230196226,0.0,21970.673900490718,0,2.3693,274384.490963942,1797.2645701745637,0.0,3.9,10911.528704841729,1907.2207443695488,0,63.96750055320493,48.6344,20.5218078499893,36.92112599173349,11.679829009085058,7666.144886499963,776.9789689244949,7666.144886499963,776.9789689244949,0,0.0,0,3.2082,4472.296918960969,1368.3798507300148,2270.855172356605,3402.9081344194715,239.7154513672868,57.928291563188125,0.0,1.8889,6.275114638594236,3.10541319791588,51.57200286407142,18.42894983159985,95710.5938,788.0791315997828,0.0,1.9663667274636554,2.4032355073455745,6.197129894001628,56.17263691681107,6.250976448640165,0.0,0.0,11538.537349724418,484.4867311342349,0.0,12.038863550295417,0.0,1.5998469923037453,139654.50713172104,12900.976880410748,19.7393,10.35389369068412,2140.3545,8.522842116435129,0,0.0,0.0,4.542494674810753,838.6485748795674,197.9837575755193,36.9275,4.261866508041913,118.41959610496808,26.285942648996944,0,0.0,29.505395807841126,4.090812267937043,99.26654389273281,15.164757529569526,32.91289474523407,23.455427979462215
12,2.2777,3.712399559570768,6113.0615,6661.7999282714945,1.285,4.031675352412573,0,5.7308589446694205,94.69690855712747,57.83602230196227,0.0,21049.559400490718,0,1.541,132351.4575323542,1668.9118701745635,3.5224,1.9584,7445.611118734111,1891.9232443695487,0,52.69040055320493,74.8805,18.640407849989302,19.218085093008913,10.284929009085058,5687.816168447547,752.3665689244948,5687.816168447547,752.3665689244948,0,0.0,0,2.2774,3286.6988021604793,1339.9331507300149,-217.28517657356815,2695.0383344194715,212.55169377277255,58.80399156318813,0.0,1.3397,6.275114638594236,2.6547131979158802,73.9605296454797,17.474249831599852,1680.6279,330.4383315997828,0.0,1.8699667274636553,-2.636493114017924,6.197129894001628,56.7547708616903,5.4541764486401645,0.0,0.0,11247.244396674494,457.0794311342349,0.0,9.902963550295416,0.0,1.9274469923037452,204907.9266260381,12919.301580410747,0.0,10.748493690684121,557.3824,5.796242116435128,0,0.0,1.2417,3.0486946748107524,748.9008909864469,181.92095757551928,10.6933,2.5269665080419133,147.45161787771173,23.358442648996945,0,0.0,22.14886604530624,3.756212267937043,73.53170786611963,13.538057529569524,8.745434111901062,21.890627979462217
13,0.0,6.152299559570768,18241.6504,6823.680828271495,0.0,6.418575352412573,0,7.26495894466942,662.0724886249295,68.05912230196228,0.0,21592.63650049072,0,1.9227,213443.2487785541,1751.1307701745636,0.0,3.8581,13000.563080470516,1907.8753443695487,0,72.21160055320493,150.6696,20.664207849989303,40.037764154338205,11.51692900908506,12074.779624486724,796.2315689244948,12074.779624486724,796.2315689244948,0,0.0,0,3.0011,9212.974838442135,1394.967050730015,4168.6541484666395,3120.6191344194713,212.55169377277255,79.91789156318814,0.0,1.7526,6.275114638594236,2.94071319791588,104.69807722654966,19.48404983159985,28879.8984,563.1834315997828,0.0,1.8768667274636555,4.303438354755571,6.197129894001628,68.64790205750742,6.025276448640165,0.0,0.0,22048.920845983932,483.99573113423486,0.0,12.548863550295415,0.0,1.594046992303745,146959.64327041354,12897.648780410747,11.7137,9.95449369068412,1030.9774,6.922742116435128,0,0.0,3.516,3.3417946748107523,1561.1938573081106,195.90895757551928,14.1061,3.213866508041913,109.72016934854894,25.779842648996947,0,0.0,28.24983678115076,4.021712267937042,143.27827106117078,15.400057529569526,33.593486713080054,22.617927979462216
14,0.0,5.845299559570767,5669.3027,6729.114828271495,1.9017,4.315375352412573,0,7.27645894466942,359.86257989157974,68.70632230196227,0.0,21501.11160049072,0,2.0326,363305.0068984826,1833.4077701745637,0.0,3.9391,7227.780470274682,1894.5407443695487,0,58.11300055320493,73.9106,20.7555078499893,19.745754931313193,11.142129009085059,5966.390998826682,763.8690689244949,5966.390998826682,763.8690689244949,0,0.0,0,2.9981,4214.790742995664,1365.538550730015,2672.2124970879113,3143.2720344194713,347.68611272448834,61.83569156318813,0.0,1.7141,6.275114638594236,2.93471319791588,51.97400229245736,18.231649831599853,5044.3525,388.1027315997828,0.0,2.3483667274636555,-2.636493114017924,6.197129894001628,55.852617775320816,5.774876448640164,0.0,0.0,11589.733515435984,461.77063113423486,0.0,11.887763550295418,0.0,1.528546992303745,96490.71421765577,12823.187380410747,21.5555,10.28019369068412,1043.8666,7.072442116435129,0,0.0,0.0,5.0147946748107515,695.7363069918147,191.00015757551927,8.1304,3.227966508041913,104.51749015793604,25.283542648996946,0,0.0,19.846115111170324,3.8916122679370426,69.7186083061091,14.541957529569526,6.157609000246166,22.592927979462218
15,0.0,5.8169995595707675,5954.2153,6731.077428271495,0.0,4.989375352412573,0,6.97455894466942,374.37014615295834,68.92722230196227,0.0,21497.780900490718,0,2.112,363170.21073869197,1829.6591701745635,0.0,3.9422,7705.076590560337,1895.3585443695488,0,57.26270055320493,83.8094,20.804607849989303,28.869323648151116,11.29272900908506,5994.157677151211,763.0072689244948,5994.157677151211,763.0072689244948,0,0.0,0,3.0105,4377.415187889205,1366.119450730015,3387.6201767342245,3150.1346344194717,323.9314658260996,60.573191563188125,0.0,1.6872,6.275114638594236,2.9195131979158804,47.511147651766294,17.928649831599852,4299.4463,377.9833315997828,0.0,1.8341667274636553,2.278515058137733,6.197129894001628,54.67062287772472,5.735176448640164,0.0,0.0,11642.19547091221,461.3835311342349,0.0,11.958763550295416,0.0,1.523546992303745,97781.71169892931,12824.337880410747,18.0437,10.27779369068412,1046.4338,7.019242116435128,0,0.0,0.0,3.899494674810752,667.8496385682344,191.25405757551928,9.7291,3.210266508041913,103.83196738021441,25.213142648996943,0,0.0,20.952887715042273,3.894212267937043,70.9274840995104,14.469157529569525,7.792482580253821,22.566427979462215
16,0.0,4.844899559570768,14721.4209,6755.263528271495,0.0,5.879175352412573,0,6.78655894466942,436.55483490189795,65.27472230196227,0.0,21233.34040049072,0,1.9304,231232.88466087205,1756.9345701745635,0.0,4.0016,6945.176245745742,1892.0044443695488,0,65.36910055320493,128.5018,20.225407849989303,50.558509081689984,11.538429009085059,9742.505767467856,782.0696689244949,9742.505767467856,782.0696689244949,0,0.0,0,3.0413,8484.375584196527,1388.8065507300148,731.4437178887833,2899.2594344194717,212.55169377277255,65.55899156318813,0.0,1.6387,6.275114638594236,2.84551319791588,100.8056445806535,18.963749831599852,3653.8542,363.0931315997828,0.0,1.7842667274636554,3.205451069628636,6.197129894001628,65.77507716234365,5.841976448640165,0.0,0.0,23685.47516075666,477.85383113423484,0.0,11.117563550295417,0.0,1.5629469923037451,104909.1341190788,12828.883680410747,5.965,9.74609369068412,737.272,6.339442116435128,0,0.0,2.8399,3.298594674810752,1165.7245215333123,190.16825757551928,13.3772,2.913866508041913,126.93974042021283,25.053142648996946,0,10.9381,26.299544350846922,3.944112267937043,202.59527038924787,15.890857529569526,24.17395882376253,22.278127979462216
17,0.0,5.343299559570768,17842.9141,6787.808328271495,1.6959,4.384875352412573,0,6.63125894466942,470.1344165759201,65.52592230196227,0.0,21391.721000490717,0,1.8778,172920.8577102581,1734.6564701745635,0.0,3.5248,17947.51918716738,1914.3969443695487,0,72.31030055320493,125.5154,20.2351078499893,43.37449989655646,11.416429009085059,12621.645128586284,796.0710689244949,12621.645128586284,796.0710689244949,0,0.0,0,3.1908,8627.572786068971,1393.350050730015,1336.18862436758,2954.0058344194717,212.55169377277255,65.97899156318813,2.0541,1.154,6.275114638594236,2.8875131979158803,89.48751077031218,18.95074983159985,20174.125,506.38603159978277,0.0,1.7863667274636554,2.586109129283973,6.197129894001628,69.30660034873809,5.993476448640164,0.0,0.0,18124.001830394893,474.22673113423485,0.0,11.134863550295417,0.0,1.538946992303745,148817.56463412286,12891.406180410748,0.0,15.04179369068412,910.0316,6.652642116435128,0,0.0,3.7989,3.312594674810752,1683.0573310266188,193.55755757551927,18.4414,3.128066508041913,97.6195559501571,25.374442648996947,0,10.7522,25.270272941438613,3.955912267937043,143.92595040102702,15.233257529569526,32.780500577105286,22.469427979462218
18,0.0,4.666299559570768,17563.248,6788.814028271495,2.2545,4.360975352412573,0,6.61095894466942,473.4203533977833,64.90182230196227,0.0,21382.97480049072,0,1.898,174843.34801312716,1723.7356701745634,0.0,4.0723,18162.852588656242,1915.1222443695488,0,71.20650055320493,128.1012,19.977207849989302,40.07978828011606,11.237229009085059,12696.088327150062,794.1564689244949,12696.088327150062,794.1564689244949,0,0.0,0,2.7448,8546.015681622517,1388.3216507300149,1235.4011794590006,2966.7964344194716,212.55169377277255,69.91799156318812,1.7295,1.1277,6.275114638594236,2.8608131979158804,94.47537683615984,18.82724983159985,21960.6328,519.3121315997828,0.0,1.7401667274636554,2.044411260222416,6.197129894001628,68.21166605213415,5.947876448640164,0.0,0.0,17694.06535729979,474.48513113423485,0.0,11.010363550295416,0.0,1.523546992303745,146724.08377878755,12890.582880410748,9.2211,9.69329369068412,921.5327,6.6019421164351275,0,0.0,2.5223,3.283794674810752,1646.1204279818492,191.99925757551927,20.3423,3.098966508041913,95.50442483844826,24.928742648996945,0,0.0,25.835859730045698,3.9386122679370428,140.97296816673898,15.025957529569526,32.03524623348079,22.428927979462216
19,0.0,6.584599559570768,6991.7915,6749.655328271495,2.5156,4.353175352412573,0,7.36855894466942,442.9743823124707,70.40502230196228,0.0,21553.25350049072,0,2.232,361672.3304751106,1829.5037701745637,0.0,4.0593,8368.914773738165,1897.6544443695489,0,59.92680055320493,72.8328,20.865207849989304,21.362524835040393,11.23832900908506,6507.089058993366,768.3345689244949,6507.089058993366,768.3345689244949,0,0.0,0,3.0254,5048.563686175375,1372.214550730015,1135.8484205993045,3170.8853344194713,313.1950104131507,60.75869156318812,0.0,1.7578,6.275114638594236,2.99481319791588,58.74867555494246,18.492649831599852,16600.4941,490.8365315997828,0.0,2.3903667274636553,-2.636493114017924,6.197129894001628,56.72957985055258,5.912376448640164,0.0,0.0,11364.279284457169,464.1475311342349,0.0,12.180863550295417,0.0,1.5550469923037453,87143.47313992037,12805.013080410747,25.4825,10.449693690684121,1329.8157,7.505442116435129,0,0.0,0.0,4.636694674810752,679.2653474252194,192.99535757551928,12.9297,3.502166508041913,181.54318887329111,26.774442648996946,0,0.0,22.94021143280314,3.960312267937043,89.69008239581191,14.929457529569525,19.716142822702793,22.878927979462215
20,0.0,5.7308995595707675,7038.4966,6793.267728271495,1.5137,4.594075352412573,0,7.88285894466942,685.6315544603766,72.75462230196226,0.0,22023.21360049072,0,2.4434,308524.24334616226,1802.0599701745637,0.0,4.1756,5936.149385494898,1895.7847443695487,0,61.80770055320493,42.4378,20.4275078499893,33.194583730309546,11.70812900908506,6701.406025890284,771.2746689244948,6701.406025890284,771.2746689244948,0,0.0,0,3.4225,4703.135155525358,1369.655350730015,1748.4945219528017,3464.5405344194714,212.55169377277255,92.18149156318813,20.7312,1.5384,6.275114638594236,3.26491319791588,51.928935091965656,18.58794983159985,106569.7656,813.2330315997827,0.0,2.0494667274636553,3.8074322642680225,6.197129894001628,55.57889877930128,6.449276448640164,0.0,0.0,4375.151932702925,475.6836311342349,0.0,12.309963550295416,0.0,1.6669469923037452,108833.16967463397,12857.767080410747,22.1862,10.54809369068412,2157.8584,8.616142116435128,0,0.0,0.0,4.225394674810753,915.8932752439093,195.28435757551927,64.0623,4.611966508041913,121.4450930087723,26.124442648996947,0,0.0,44.35580173299706,4.297712267937043,89.91843490797268,15.158857529569525,51.33563532285209,23.580227979462215
